alumni_id,full_name,date_of_birth,nationality,contact_information,current_location,graduation_year,mobility_track,specialization,current_job_title,skills_certifications,profile_visibility,status,linkedin_profile
1,Cheslie Connor,1953-09-22,Argentina,cconnor0@bbb.org,0 Charing Cross Terrace,2002,,,,Fraud Detection,Public,Inactive,https://www.linkedin.com/q+
2,Brewer Adamowicz,1988-07-09,China,badamowicz1@yellowbook.com,7264 Merry Park,1992,,Art History,,,Public,Inactive,https://www.linkedin.com/_+
3,Lilyan Daal,1968-10-01,Vietnam,ldaal2@t-online.de,052 Village Alley,2012,Global Exchange Program,Computer Science,,,Private,Active,
4,Cris Tremmil,1996-05-12,Nigeria,ctremmil3@slate.com,86 Bartelt Plaza,2010,Cultural Immersion Program,Computer Science,Office Assistant III,Oceanography,Private,Inactive,https://www.linkedin.com/Z+
5,Shanta Rix,1969-10-11,Poland,srix4@cpanel.net,,2012,Language Study Abroad Program,Psychology,Nurse,X-ray,Public,Active,
6,Laurens Aloshkin,1990-04-01,Ireland,laloshkin5@bbc.co.uk,,1995,,,Chief Design Engineer,cPanel,Public,Active,https://www.linkedin.com/K+
7,Rabi Belfelt,1998-06-03,Malaysia,rbelfelt6@typepad.com,3337 Hermina Hill,2009,Research Collaboration Program,,Help Desk Operator,RC,Private,Active,https://www.linkedin.com/-+
8,Cathi Pocklington,1962-01-24,Russia,cpocklington7@nba.com,209 Forest Dale Avenue,2006,Research Collaboration Program,,,,Public,Active,
9,Roosevelt Cianni,1960-01-11,Thailand,rcianni8@imdb.com,,2007,Research Collaboration Program,Business,Editor,Overhead Cranes,Private,Active,https://www.linkedin.com/0+
10,Parry Treasure,1950-01-02,South Africa,ptreasure9@youtube.com,,2006,International Internship Program,,,LGBT Rights,Public,Active,https://www.linkedin.com/7+
11,Grissel Skea,1954-02-09,China,gskeaa@archive.org,,2006,Language Study Abroad Program,,Human Resources Assistant I,WUFI,Public,Inactive,
12,Dorette Upham,1964-11-23,Brazil,duphamb@mit.edu,04372 Gale Circle,1994,Global Exchange Program,Computer Science,,FSL,Public,Inactive,https://www.linkedin.com/_+
13,Nickola Raund,1973-12-23,Indonesia,nraundc@wikimedia.org,53323 Springview Junction,1985,Language Study Abroad Program,,,,Private,Active,https://www.linkedin.com/o+
14,Kerwinn Andrey,1987-01-19,Canada,kandreyd@psu.edu,4 Hudson Avenue,2006,Language Study Abroad Program,,Nurse Practicioner,FBCB2,Private,Inactive,https://www.linkedin.com/-+
15,Laraine Alesbrook,1969-11-30,Madagascar,lalesbrooke@gizmodo.com,36402 Warbler Street,1999,Global Exchange Program,,,Justice,Public,Inactive,
16,Reggis Smedmore,1988-03-05,China,rsmedmoref@tinyurl.com,7 Pankratz Court,2012,Global Exchange Program,Art History,,MRM,Private,Inactive,https://www.linkedin.com/h+
17,Bendick Ramsier,1970-01-21,Russia,bramsierg@163.com,,2008,Language Study Abroad Program,Art History,,DNS Administration,Private,Inactive,https://www.linkedin.com/f+
18,Karia Adamovsky,1976-11-24,China,kadamovskyh@house.gov,4022 Goodland Center,2009,,Art History,,Criminal Justice,Private,Active,
19,Mathilde Draayer,1974-03-25,Indonesia,mdraayeri@t.co,83 Debs Alley,2010,Global Exchange Program,,,,Private,Active,
20,Davie Georg,1972-08-11,Iran,dgeorgj@time.com,8 Ryan Lane,2008,,,,,Public,Inactive,https://www.linkedin.com/1+
21,Gwenneth Lethby,1955-06-19,Russia,glethbyk@buzzfeed.com,4300 Schiller Alley,1986,,Computer Science,,,Public,Inactive,https://www.linkedin.com/1+
22,Hanan Wallman,1957-05-10,United Arab Emirates,hwallmanl@microsoft.com,,2002,Cultural Immersion Program,Psychology,Librarian,Golf,Private,Inactive,https://www.linkedin.com/h+
23,Walker Sturney,1952-07-15,China,wsturneym@yandex.ru,,2012,Language Study Abroad Program,,Programmer Analyst III,,Public,Inactive,https://www.linkedin.com/0+
24,Maude Moylane,1957-06-14,Philippines,mmoylanen@craigslist.org,19297 Beilfuss Pass,1996,International Internship Program,Computer Science,,McAfee Antivirus,Private,Active,
25,Emlynne Roubottom,1958-12-25,Pakistan,eroubottomo@over-blog.com,,2008,Language Study Abroad Program,,Quality Engineer,Go,Private,Inactive,
26,Cassie Baston,1955-07-09,Belarus,cbastonp@theguardian.com,3795 Warbler Hill,1998,Cultural Immersion Program,,,RNA Isolation,Public,Inactive,
27,Gunar Filipychev,1968-04-16,Vietnam,gfilipychevq@hibu.com,14 Haas Street,2011,International Internship Program,Psychology,,PVCS,Public,Active,
28,Nertie Faherty,1998-12-04,Thailand,nfahertyr@joomla.org,,2009,Research Collaboration Program,Engineering,,,Public,Active,https://www.linkedin.com/2+
29,Derrik Dechelle,1950-04-21,Pakistan,ddechelles@businesswire.com,1179 Oriole Center,2009,,Computer Science,Chief Design Engineer,DXX,Private,Inactive,https://www.linkedin.com/5+
30,Constantia Duiged,1964-04-26,Indonesia,cduigedt@bing.com,405 Sunbrook Parkway,1998,Research Collaboration Program,Art History,,MBE,Private,Active,
31,Ulrick Semmens,1976-03-15,Czech Republic,usemmensu@house.gov,,2001,Cultural Immersion Program,Psychology,Design Engineer,Consumer Electronics,Public,Inactive,https://www.linkedin.com/_+
32,Rex Duffus,1968-09-15,Greece,rduffusv@people.com.cn,,1990,Research Collaboration Program,,,,Private,Active,https://www.linkedin.com/t+
33,Monica Garlicke,1975-05-31,China,mgarlickew@ucsd.edu,,2002,Global Exchange Program,,,Sh,Public,Active,
34,Ellsworth Jerosch,1969-04-01,Indonesia,ejeroschx@xinhuanet.com,962 Carpenter Trail,2005,International Internship Program,Engineering,Help Desk Operator,CCENT,Public,Inactive,https://www.linkedin.com/b+
35,Shaine Geany,1955-06-08,Kazakhstan,sgeanyy@gov.uk,,2005,Cultural Immersion Program,Computer Science,,Illustrator,Public,Inactive,
36,Tressa Jarman,1978-01-06,Afghanistan,tjarmanz@typepad.com,8 Spohn Court,2007,Cultural Immersion Program,Biology,,NCIC,Private,Active,https://www.linkedin.com/O+
37,Dixie Dominec,1955-04-02,Indonesia,ddominec10@bbc.co.uk,,2000,,Business,,Athletic Performance,Private,Active,
38,Franz Edelmann,1991-09-29,China,fedelmann11@nps.gov,,1992,Research Collaboration Program,Art History,,Process Efficiency,Public,Active,
39,Jose Stickels,1997-03-03,China,jstickels12@unicef.org,781 Eagle Crest Road,2000,,Art History,Database Administrator II,VMware ESX,Public,Active,https://www.linkedin.com/R+
40,Granville Fairfoot,1985-02-11,United Kingdom,gfairfoot13@barnesandnoble.com,672 Ohio Circle,1995,International Internship Program,Biology,Account Coordinator,,Private,Active,https://www.linkedin.com/x+
41,Felicdad Helwig,1999-11-14,Argentina,fhelwig14@reference.com,72182 Cambridge Circle,2004,International Internship Program,,,Python,Private,Inactive,https://www.linkedin.com/-+
42,Shantee Delatour,1972-01-23,China,sdelatour15@privacy.gov.au,97859 Northport Plaza,1995,Research Collaboration Program,,,Shopping Centers,Public,Inactive,
43,Jaymie Plaistowe,1981-01-31,Portugal,jplaistowe16@ucoz.ru,,2009,International Internship Program,Biology,VP Product Management,,Public,Inactive,
44,Lyndsay Gadeaux,1993-12-15,Sweden,lgadeaux17@phpbb.com,16 Quincy Alley,1993,,,Programmer III,Title IV,Private,Active,
45,Idell Camacho,1950-09-19,Indonesia,icamacho18@goo.ne.jp,1 Prentice Avenue,1998,,Psychology,Paralegal,,Public,Inactive,
46,Jannelle Croney,1970-07-30,China,jcroney19@t.co,,2010,Research Collaboration Program,Computer Science,,,Public,Inactive,https://www.linkedin.com/_+
47,Ibby McGrotty,1997-03-07,United States,imcgrotty1a@comcast.net,607 Milwaukee Point,2003,,,Web Designer IV,MTT,Public,Active,https://www.linkedin.com/3+
48,Rubetta Devas,1961-12-20,Thailand,rdevas1b@noaa.gov,0749 Vahlen Road,1992,Language Study Abroad Program,,Physical Therapy Assistant,Current Affairs,Public,Active,
49,Khalil Bamb,1995-03-15,Portugal,kbamb1c@oakley.com,,1995,Cultural Immersion Program,,Engineer IV,CMC,Public,Active,https://www.linkedin.com/-+
50,Cami Ughini,1997-08-08,Indonesia,cughini1d@dedecms.com,256 Bluestem Drive,2003,Cultural Immersion Program,,,,Private,Active,
